province,district,year,AK PARTİ,ANADOLU PARTİSİ,ANAP,ATP,BBP,BTP,CHP,DEHAP,DP,DSP,DYP,EMEP,GENÇ PARTİ,HAK-PAR,HAP,HAS PARTİ,HDP,HEPAR,HKP,HÜDA PAR,HYP,İP,İYİ PARTİ,KP,LDP,MEP,MHP,MİLLET PARTİSİ,MMP,ÖDP,SAADET PARTİSİ,TKP,TURK PARTİ,VATAN PARTİSİ,YTP,YURT-P,CUMHUR İTTİFAKI ,MİLLET İTTİFAKI ,BĞMZ
ADANA,,2007, 137 320,-,-,-,-, 1 049, 125 614,-, 18 068,-,-,-, 15 020,-,-,-,-,-,-,-, 1 615, 1 729,-,-,-,-, 85 488,-,-,  821, 7 288,  794,-,-,-,-,-,-, 34 192
ADANA,,,32.0,-,-,-,-,0.2,29.3,-,4.2,-,-,-,3.5,-,-,-,-,-,-,-,0.4,0.4,-,-,-,-,19.9,-,-,0.2,1.7,0.2,-,-,-,-,-,-,8.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2002, 92 832,-, 11 485,-, 2 000,  984, 104 098, 47 112,-, 5 584, 30 108,-, 38 602,-,-,-,-,-,-,-,-, 2 204,-,-,  901,-, 39 232,  553,-, 2 462, 7 572, 1 095,-,-, 5 799, 2 996,-,-,  529
ADANA,,,23.4,-,2.9,-,0.5,0.3,26.3,11.9,-,1.4,7.6,-,9.7,-,-,-,-,-,-,-,-,0.6,-,-,0.2,-,9.9,0.1,-,0.6,1.9,0.3,-,-,1.5,0.8,-,-,0.1
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    Yüreğir,2018, 88 348,-,-,-,-,-, 49 539,-,-,-,-,-,-,-,-,-, 37 420,-,-, 2 929,-,-, 20 010,-,-,-, 22 022,-,-,-, 2 193,-,-,  338,-,-, 1 990,  456,  50
ADANA,,,39.2,-,-,-,-,-,22.0,-,-,-,-,-,-,-,-,-,16.6,-,-,1.3,-,-,8.9,-,-,-,9.8,-,-,-,1.0,-,-,0.2,-,-,0.9,0.2,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (1 Kasım), 95 739,-,-,-,  887,  182, 55 096,-,  181,  144,-,-,-,  502,-,-, 33 741,-,  347,-,-,-,-,  90,  180,-, 34 585,  63,-,-, 1 342,-,-,  384,-,-,-,-,-
ADANA,,,42.8,-,-,-,0.4,0.1,24.7,-,0.1,0.1,-,-,-,0.2,-,-,15.1,-,0.2,-,-,-,-,0.0,0.1,-,15.5,0.0,-,-,0.6,-,-,0.2,-,-,-,-,-
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (7 Haziran), 74 348,  83,-,-,-,  369, 53 161,-,  178,  364,  270,-,-,  307,-,-, 43 216,-,  301,-,-,-,-,  54,  137,  229, 40 918,  68,-,-, 3 006,-,  475,  418,-,-,-,-, 2 232
ADANA,,,33.8,0.0,-,-,-,0.2,24.1,-,0.1,0.2,0.1,-,-,0.1,-,-,19.6,-,0.1,-,-,-,-,0.0,0.1,0.1,18.6,0.0,-,-,1.4,-,0.2,0.2,-,-,-,-,1.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2011, 96 283,-,-,-, 1 744,-, 58 984,-,  940,  416,  282,-,-,-,-,  983,-,  343,-,-,-,-,-,-,  42,-, 35 137,  373,  168,-, 1 728,  236,-,-,-,-,-,-, 21 494
ADANA,,,43.9,-,-,-,0.8,-,26.9,-,0.4,0.2,0.1,-,-,-,-,0.4,-,0.2,-,-,-,-,-,-,0.0,-,16.0,0.2,0.1,-,0.8,0.1,-,-,-,-,-,-,9.8
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2007, 95 645,-,-,-,-,  698, 41 809,-, 9 386,-,-,-, 7 401,-,-,-,-,-,-,-,  935,  795,-,-,-,-, 46 879,-,-,  318, 2 915,  415,-,-,-,-,-,-, 13 568
ADANA,,,43.3,-,-,-,-,0.3,18.9,-,4.3,-,-,-,3.4,-,-,-,-,-,-,-,0.4,0.4,-,-,-,-,21.2,-,-,0.1,1.3,0.2,-,-,-,-,-,-,6.1
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2002, 65 598,-, 5 892,-, 1 338,  497, 38 875, 22 038,-, 2 603, 17 353,-, 19 564,-,-,-,-,-,-,-,-,  772,-,-,  240,-, 21 073,  312,-,  640, 3 068,  350,-,-, 1 318, 1 557,-,-,  142
ADANA,,,32.3,-,2.9,-,0.7,0.2,19.1,10.8,-,1.3,8.5,-,9.6,-,-,-,-,-,-,-,-,0.4,-,-,0.1,-,10.4,0.2,-,0.3,1.5,0.2,-,-,0.6,0.8,-,-,0.1
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,    Aladağ,2018, 5 092,-,-,-,-,-, 1 557,-,-,-,-,-,-,-,-,-,  63,-,-,  45,-,-, 1 598,-,-,-, 1 859,-,-,-,  135,-,-,  44,-,-,  99,  11,  4
ADANA,,,48.5,-,-,-,-,-,14.8,-,-,-,-,-,-,-,-,-,0.6,-,-,0.4,-,-,15.2,-,-,-,17.7,-,-,-,1.3,-,-,0.4,-,-,0.9,0.1,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (1 Kasım), 6 232,-,-,-,  67,  25, 1 302,-,  18,  7,-,-,-,  33,-,-,  38,-,  36,-,-,-,-,  10,  4,-, 3 024,  4,-,-,  112,-,-,  18,-,-,-,-,-
ADANA,,,57.0,-,-,-,0.6,0.2,11.9,-,0.2,0.1,-,-,-,0.3,-,-,0.3,-,0.3,-,-,-,-,0.1,0.0,-,27.7,0.0,-,-,1.0,-,-,0.2,-,-,-,-,-
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (7 Haziran), 5 337,  9,-,-,-,  13, 1 225,-,  22,  27,  8,-,-,  34,-,-,  54,-,  24,-,-,-,-,  3,  24,  10, 3 566,  6,-,-,  186,-,  84,  18,-,-,-,-,  5
ADANA,,,50.1,0.1,-,-,-,0.1,11.5,-,0.2,0.3,0.1,-,-,0.3,-,-,0.5,-,0.2,-,-,-,-,0.0,0.2,0.1,33.5,0.1,-,-,1.7,-,0.8,0.2,-,-,-,-,0.0
