province,district,year,AK PARTİ,ANADOLU PARTİSİ,ANAP,ATP,BBP,BTP,CHP,DEHAP,DP,DSP,DYP,EMEP,GENÇ PARTİ,HAK-PAR,HAP,HAS PARTİ,HDP,HEPAR,HKP,HÜDA PAR,HYP,İP,İYİ PARTİ,KP,LDP,MEP,MHP,MİLLET PARTİSİ,MMP,ÖDP,SAADET PARTİSİ,TKP,TURK PARTİ,VATAN PARTİSİ,YTP,YURT-P,CUMHUR İTTİFAKI ,MİLLET İTTİFAKI ,BĞMZ
ADIYAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIYAMAN,,2007, 3 251,-,-,-,-,  37, 1 279,-,  366,-,-,-,  52,-,-,-,-,-,-,-,  54,  17,-,-,  7,-,  549,-,-,-,  39,  19,-,-,-,-,-,-,  167
ADIYAMAN,,,55.7,-,-,-,-,0.6,21.9,-,6.3,-,-,-,0.9,-,-,-,-,-,-,-,0.9,0.3,-,-,0.1,-,9.4,-,-,-,0.7,0.3,-,-,-,-,-,-,2.9
ADIYAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADIYAMAN,,2002, 1 777,-,  223,-,  111,  15, 1 307,  189,-,  64,  435,-,  268,-,-,-,-,-,-,-,-,  31,-,-,  14,-,  583,  26,-,  16,  73,  24,-,-,  310,  18,-,-,-
ADIYAMAN,,,32.4,-,4.1,-,2.0,0.3,23.8,3.4,-,1.2,7.9,-,4.9,-,-,-,-,-,-,-,-,0.6,-,-,0.3,-,10.6,0.5,-,0.3,1.3,0.4,-,-,5.7,0.3,-,-,-
ADIYAMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFYONKARAHİSAR,2018, 243 613,-,-,-,-,-, 63 810,-,-,-,-,-,-,-,-,-, 3 382,-,-,  977,-,-, 60 706,-,-,-, 62 038,-,-,-, 4 965,-,-, 1 138,-,-, 5 846,  880,-
,,,54.5,-,-,-,-,-,14.3,-,-,-,-,-,-,-,-,-,0.8,-,-,0.2,-,-,13.6,-,-,-,13.9,-,-,-,1.1,-,-,0.3,-,-,1.3,0.2,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 (1 Kasım), 273 797,-,-,-, 3 053,  481, 70 153,-, 1 703,  305,  313,-,-,-,-,-, 2 373,-,  957,-,-,-,-,  640,  135,-, 73 417,  319,-,-, 3 412,-,-,  808,-,-,-,-,-
,,,63.4,-,-,-,0.7,0.1,16.2,-,0.4,0.1,0.1,-,-,-,-,-,0.5,-,0.2,-,-,-,-,0.1,0.0,-,17.0,0.1,-,-,0.8,-,-,0.2,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 (7 Haziran), 222 467,  208,-,-,-,  723, 71 131,-, 2 187, 1 292,  524,-,-,-,-,-, 4 447,-, 1 112,-,-,-,-,  61,-,  292, 108 175,  391,-,-, 9 265,-, 1 730,  879,-,-,-,-,-
,,,52.4,0.0,-,-,-,0.2,16.7,-,0.5,0.3,0.1,-,-,-,-,-,1.0,-,0.3,-,-,-,-,0.0,-,0.1,25.5,0.1,-,-,2.2,-,0.4,0.2,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2011, 257 463,-,-,-, 2 927,-, 70 203,-, 3 104,  823, 1 299,  717,-,-,-, 2 752,-,  803,-,-,-,-,-,-,-,-, 79 425,  636,  559,-, 4 825,  356,-,-,-,-,-,-,  209
,,,60.4,-,-,-,0.7,-,16.5,-,0.7,0.2,0.3,0.2,-,-,-,0.6,-,0.2,-,-,-,-,-,-,-,-,18.6,0.1,0.1,-,1.1,0.1,-,-,-,-,-,-,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2007, 206 825,-,-,-,-, 2 057, 47 494,-, 26 197,-,-, 1 148, 6 171,-,-,-,-,-,-,-, 2 595, 1 401,-,-,  876,-, 80 860,-,-,  597, 6 893,  631,-,-,-,-,-,-, 1 232
,,,53.7,-,-,-,-,0.5,12.3,-,6.8,-,-,0.3,1.6,-,-,-,-,-,-,-,0.7,0.4,-,-,0.2,-,21.0,-,-,0.2,1.8,0.2,-,-,-,-,-,-,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002, 149 518,-, 17 888,-, 3 134, 1 517, 43 488, 3 793,-, 3 105, 48 075,-, 18 947,-,-,-,-,-,-,-,-, 1 744,-,-,  620,-, 49 177, 1 197,-,  540, 4 544,  409,-,-, 1 150, 1 724,-,-,  128
,,,42.6,-,5.1,-,0.9,0.4,12.4,1.1,-,0.9,13.7,-,5.4,-,-,-,-,-,-,-,-,0.5,-,-,0.2,-,14.0,0.4,-,0.2,1.3,0.1,-,-,0.3,0.5,-,-,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Merkez,2018, 99 396,-,-,-,-,-, 20 314,-,-,-,-,-,-,-,-,-, 1 719,-,-,  229,-,-, 25 386,-,-,-, 24 542,-,-,-, 2 238,-,-,  271,-,-, 2 280,  353,-
AFYONKARAHİSAR,,,56.2,-,-,-,-,-,11.5,-,-,-,-,-,-,-,-,-,1.0,-,-,0.1,-,-,14.4,-,-,-,13.9,-,-,-,1.3,-,-,0.2,-,-,1.3,0.2,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 110 694,-,-,-, 1 268,  128, 22 586,-,  350,  69,  88,-,-,-,-,-, 1 237,-,  230,-,-,-,-,  164,  51,-, 27 772,  135,-,-, 1 383,-,-,  203,-,-,-,-,-
AFYONKARAHİSAR,,,66.5,-,-,-,0.8,0.1,13.6,-,0.2,0.0,0.1,-,-,-,-,-,0.7,-,0.1,-,-,-,-,0.1,0.0,-,16.7,0.1,-,-,0.8,-,-,0.1,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 86 897,  59,-,-,-,  213, 22 324,-,  524,  475,  126,-,-,-,-,-, 2 272,-,  285,-,-,-,-,  18,-,  91, 44 171,  168,-,-, 4 217,-,  384,  259,-,-,-,-,-
AFYONKARAHİSAR,,,53.5,0.0,-,-,-,0.1,13.7,-,0.3,0.3,0.1,-,-,-,-,-,1.4,-,0.2,-,-,-,-,0.0,-,0.1,27.2,0.1,-,-,2.6,-,0.2,0.2,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2011, 99 912,-,-,-, 1 197,-, 19 846,-,  606,  213,  284,  170,-,-,-,  938,-,  248,-,-,-,-,-,-,-,-, 25 535,  209,  135,-, 2 118,  83,-,-,-,-,-,-,  46
AFYONKARAHİSAR,,,65.9,-,-,-,0.8,-,13.1,-,0.4,0.1,0.2,0.1,-,-,-,0.6,-,0.2,-,-,-,-,-,-,-,-,16.9,0.1,0.1,-,1.4,0.1,-,-,-,-,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2007, 73 688,-,-,-,-,  392, 9 740,-, 6 681,-,-,  388, 1 694,-,-,-,-,-,-,-,  479,  249,-,-,  191,-, 18 229,-,-,  99, 2 225,  98,-,-,-,-,-,-,  239
AFYONKARAHİSAR,,,64.4,-,-,-,-,0.3,8.5,-,5.8,-,-,0.3,1.5,-,-,-,-,-,-,-,0.4,0.2,-,-,0.2,-,15.9,-,-,0.1,1.9,0.1,-,-,-,-,-,-,0.2
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2002, 56 413,-, 4 177,-,  736,  451, 9 027,  774,-,  622, 9 222,-, 5 039,-,-,-,-,-,-,-,-,  212,-,-,  154,-, 9 118,  290,-,  113, 1 325,  78,-,-,  350,  358,-,-,  42
AFYONKARAHİSAR,,,57.3,-,4.2,-,0.7,0.5,9.2,0.8,-,0.6,9.4,-,5.1,-,-,-,-,-,-,-,-,0.2,-,-,0.2,-,9.3,0.3,-,0.1,1.3,0.1,-,-,0.3,0.4,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Başmakçı,2018, 3 061,-,-,-,-,-, 1 707,-,-,-,-,-,-,-,-,-,  32,-,-,  27,-,-,  893,-,-,-,  881,-,-,-,  56,-,-,  39,-,-,  81,  20,-
AFYONKARAHİSAR,,,45.0,-,-,-,-,-,25.1,-,-,-,-,-,-,-,-,-,0.5,-,-,0.4,-,-,13.1,-,-,-,13.0,-,-,-,0.8,-,-,0.6,-,-,1.2,0.3,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 3 405,-,-,-,  49,  4, 2 076,-,  36,  10,  8,-,-,-,-,-,  22,-,  20,-,-,-,-,  5,  2,-, 1 266,  2,-,-,  24,-,-,  30,-,-,-,-,-
AFYONKARAHİSAR,,,48.9,-,-,-,0.7,0.1,29.8,-,0.5,0.1,0.1,-,-,-,-,-,0.3,-,0.3,-,-,-,-,0.1,0.0,-,18.2,0.0,-,-,0.3,-,-,0.4,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 2 855,  8,-,-,-,  8, 2 174,-,  39,  24,  20,-,-,-,-,-,  45,-,  27,-,-,-,-,-,-,  9, 1 561,  8,-,-,  66,-,  37,  39,-,-,-,-,-
AFYONKARAHİSAR,,,41.3,0.1,-,-,-,0.1,31.4,-,0.6,0.3,0.3,-,-,-,-,-,0.7,-,0.4,-,-,-,-,-,-,0.1,22.6,0.1,-,-,1.0,-,0.5,0.6,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2011, 3 297,-,-,-,  59,-, 1 941,-,  98,  26,  45,  33,-,-,-,  36,-,  23,-,-,-,-,-,-,-,-, 1 600,  12,  15,-,  33,  11,-,-,-,-,-,-,  5
AFYONKARAHİSAR,,,45.6,-,-,-,0.8,-,26.8,-,1.4,0.4,0.6,0.5,-,-,-,0.5,-,0.3,-,-,-,-,-,-,-,-,22.1,0.2,0.2,-,0.5,0.2,-,-,-,-,-,-,0.1
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2007, 2 283,-,-,-,-,  60, 1 559,-,  820,-,-,  28,  220,-,-,-,-,-,-,-,  53,  29,-,-,  27,-, 1 831,-,-,  21,  56,  10,-,-,-,-,-,-,  37
AFYONKARAHİSAR,,,32.5,-,-,-,-,0.9,22.2,-,11.7,-,-,0.4,3.1,-,-,-,-,-,-,-,0.8,0.4,-,-,0.4,-,26.0,-,-,0.3,0.8,0.1,-,-,-,-,-,-,0.5
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2002, 1 399,-,  354,-,  49,  18, 1 271,  79,-,  127, 1 589,-,  483,-,-,-,-,-,-,-,-,  52,-,-,  14,-, 1 166,  29,-,  5,  51,  8,-,-,  20,  58,-,-,  1
AFYONKARAHİSAR,,,20.6,-,5.2,-,0.7,0.3,18.8,1.2,-,1.9,23.5,-,7.1,-,-,-,-,-,-,-,-,0.8,-,-,0.2,-,17.2,0.4,-,0.1,0.7,0.1,-,-,0.3,0.9,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Bayat,2018, 2 630,-,-,-,-,-,  711,-,-,-,-,-,-,-,-,-,  28,-,-,  18,-,-,  693,-,-,-,  622,-,-,-,  29,-,-,  28,-,-,  84,  10,-
AFYONKARAHİSAR,,,54.2,-,-,-,-,-,14.7,-,-,-,-,-,-,-,-,-,0.6,-,-,0.4,-,-,14.3,-,-,-,12.8,-,-,-,0.6,-,-,0.6,-,-,1.7,0.2,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 2 950,-,-,-,  37,  11,  838,-,  90,  5,  5,-,-,-,-,-,  31,-,  18,-,-,-,-,  14,  2,-,  713,  3,-,-,  22,-,-,  17,-,-,-,-,-
AFYONKARAHİSAR,,,62.0,-,-,-,0.8,0.2,17.6,-,1.9,0.1,0.1,-,-,-,-,-,0.7,-,0.4,-,-,-,-,0.3,0.0,-,15.0,0.1,-,-,0.5,-,-,0.4,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 2 439,  7,-,-,-,  10,  883,-,  90,  17,  9,-,-,-,-,-,  97,-,  17,-,-,-,-,-,-,  5, 1 048,  4,-,-,  63,-,  44,  7,-,-,-,-,-
AFYONKARAHİSAR,,,51.5,0.1,-,-,-,0.2,18.6,-,1.9,0.4,0.2,-,-,-,-,-,2.0,-,0.4,-,-,-,-,-,-,0.1,22.1,0.1,-,-,1.3,-,0.9,0.1,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2011, 2 896,-,-,-,  23,-,  836,-,  109,  13,  28,  17,-,-,-,  44,-,  10,-,-,-,-,-,-,-,-,  816,  8,  12,-,  26,  5,-,-,-,-,-,-,  5
AFYONKARAHİSAR,,,59.7,-,-,-,0.5,-,17.2,-,2.2,0.3,0.6,0.4,-,-,-,0.9,-,0.2,-,-,-,-,-,-,-,-,16.8,0.2,0.2,-,0.5,0.1,-,-,-,-,-,-,0.1
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2007, 2 128,-,-,-,-,  34,  643,-,  814,-,-,  15,  95,-,-,-,-,-,-,-,  68,  30,-,-,  21,-,  851,-,-,  14,  45,  18,-,-,-,-,-,-,  57
AFYONKARAHİSAR,,,44.0,-,-,-,-,0.7,13.3,-,16.8,-,-,0.3,2.0,-,-,-,-,-,-,-,1.4,0.6,-,-,0.4,-,17.6,-,-,0.3,0.9,0.4,-,-,-,-,-,-,1.2
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2002, 1 651,-,  247,-,  41,  16,  649,  79,-,  81, 1 061,-,  151,-,-,-,-,-,-,-,-,  27,-,-,  11,-,  344,  19,-,  17,  53,  11,-,-,  18,  37,-,-,  1
AFYONKARAHİSAR,,,36.6,-,5.5,-,0.9,0.4,14.4,1.8,-,1.8,23.5,-,3.3,-,-,-,-,-,-,-,-,0.6,-,-,0.2,-,7.6,0.4,-,0.4,1.2,0.2,-,-,0.4,0.8,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Bolvadin,2018, 14 450,-,-,-,-,-, 2 445,-,-,-,-,-,-,-,-,-,  154,-,-,  56,-,-, 2 963,-,-,-, 5 984,-,-,-,  370,-,-,  47,-,-,  478,  48,-
AFYONKARAHİSAR,,,53.5,-,-,-,-,-,9.1,-,-,-,-,-,-,-,-,-,0.6,-,-,0.2,-,-,11.0,-,-,-,22.2,-,-,-,1.4,-,-,0.2,-,-,1.8,0.2,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 19 122,-,-,-,  160,  23, 2 707,-,  50,  10,  16,-,-,-,-,-,  115,-,  45,-,-,-,-,  42,  8,-, 4 197,  18,-,-,  178,-,-,  21,-,-,-,-,-
AFYONKARAHİSAR,,,71.6,-,-,-,0.6,0.1,10.1,-,0.2,0.0,0.1,-,-,-,-,-,0.4,-,0.2,-,-,-,-,0.2,0.0,-,15.7,0.1,-,-,0.7,-,-,0.1,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 16 468,  11,-,-,-,  39, 2 779,-,  57,  67,  28,-,-,-,-,-,  257,-,  69,-,-,-,-,  9,-,  15, 5 906,  14,-,-,  475,-,  102,  27,-,-,-,-,-
AFYONKARAHİSAR,,,62.6,0.0,-,-,-,0.1,10.6,-,0.2,0.3,0.1,-,-,-,-,-,1.0,-,0.3,-,-,-,-,0.0,-,0.1,22.4,0.1,-,-,1.8,-,0.4,0.1,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2011, 19 094,-,-,-,  156,-, 2 989,-,  140,  35,  43,  25,-,-,-,  205,-,  31,-,-,-,-,-,-,-,-, 4 367,  28,  28,-,  285,  16,-,-,-,-,-,-,  13
AFYONKARAHİSAR,,,69.5,-,-,-,0.6,-,10.9,-,0.5,0.1,0.2,0.1,-,-,-,0.7,-,0.1,-,-,-,-,-,-,-,-,15.9,0.1,0.1,-,1.0,0.1,-,-,-,-,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2007, 14 149,-,-,-,-,  86, 1 516,-, 1 461,-,-,  46,  171,-,-,-,-,-,-,-,  130,  82,-,-,  40,-, 7 027,-,-,  29,  760,  30,-,-,-,-,-,-,  32
AFYONKARAHİSAR,,,55.4,-,-,-,-,0.3,5.9,-,5.7,-,-,0.2,0.7,-,-,-,-,-,-,-,0.5,0.3,-,-,0.2,-,27.5,-,-,0.1,3.0,0.1,-,-,-,-,-,-,0.1
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2002, 10 742,-,  719,-,  234,  81, 1 674,  226,-,  97, 1 328,-,  783,-,-,-,-,-,-,-,-,  105,-,-,  19,-, 6 840,  63,-,  26,  377,  18,-,-,  27,  63,-,-,  8
AFYONKARAHİSAR,,,45.8,-,3.1,-,1.0,0.3,7.1,1.0,-,0.4,5.7,-,3.3,-,-,-,-,-,-,-,-,0.5,-,-,0.1,-,29.2,0.3,-,0.1,1.6,0.1,-,-,0.1,0.3,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Çay,2018, 9 935,-,-,-,-,-, 3 783,-,-,-,-,-,-,-,-,-,  143,-,-,  64,-,-, 3 194,-,-,-, 2 556,-,-,-,  187,-,-,  80,-,-,  214,  47,-
AFYONKARAHİSAR,,,49.2,-,-,-,-,-,18.7,-,-,-,-,-,-,-,-,-,0.7,-,-,0.3,-,-,15.8,-,-,-,12.7,-,-,-,0.9,-,-,0.4,-,-,1.1,0.2,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 10 953,-,-,-,  127,  29, 4 703,-,  77,  20,  20,-,-,-,-,-,  110,-,  61,-,-,-,-,  25,  5,-, 3 918,  12,-,-,  134,-,-,  43,-,-,-,-,-
AFYONKARAHİSAR,,,54.1,-,-,-,0.6,0.1,23.2,-,0.4,0.1,0.1,-,-,-,-,-,0.5,-,0.3,-,-,-,-,0.1,0.0,-,19.4,0.1,-,-,0.7,-,-,0.2,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 9 049,  8,-,-,-,  33, 4 526,-,  76,  61,  33,-,-,-,-,-,  187,-,  68,-,-,-,-,  2,-,  18, 5 342,  20,-,-,  318,-,  109,  60,-,-,-,-,-
AFYONKARAHİSAR,,,45.4,0.0,-,-,-,0.2,22.7,-,0.4,0.3,0.2,-,-,-,-,-,0.9,-,0.3,-,-,-,-,0.0,-,0.1,26.8,0.1,-,-,1.6,-,0.5,0.3,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2011, 10 416,-,-,-,  105,-, 4 574,-,  150,  47,  82,  45,-,-,-,  217,-,  35,-,-,-,-,-,-,-,-, 5 286,  35,  30,-,  163,  26,-,-,-,-,-,-,  5
AFYONKARAHİSAR,,,49.1,-,-,-,0.5,-,21.6,-,0.7,0.2,0.4,0.2,-,-,-,1.0,-,0.2,-,-,-,-,-,-,-,-,24.9,0.2,0.1,-,0.8,0.1,-,-,-,-,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2007, 8 745,-,-,-,-,  104, 2 779,-, 1 555,-,-,  54,  402,-,-,-,-,-,-,-,  125,  77,-,-,  51,-, 5 759,-,-,  28,  289,  33,-,-,-,-,-,-,  52
AFYONKARAHİSAR,,,43.6,-,-,-,-,0.5,13.9,-,7.8,-,-,0.3,2.0,-,-,-,-,-,-,-,0.6,0.4,-,-,0.3,-,28.7,-,-,0.1,1.4,0.2,-,-,-,-,-,-,0.3
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2002, 8 674,-, 1 112,-,  155,  59, 2 583,  216,-,  157, 2 133,-,  970,-,-,-,-,-,-,-,-,  85,-,-,  27,-, 3 153,  38,-,  22,  129,  13,-,-,  60,  106,-,-,  11
AFYONKARAHİSAR,,,44.0,-,5.7,-,0.8,0.3,13.1,1.1,-,0.8,10.8,-,4.9,-,-,-,-,-,-,-,-,0.4,-,-,0.1,-,16.0,0.2,-,0.1,0.7,0.1,-,-,0.3,0.5,-,-,0.1
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Çobanlar,2018, 4 234,-,-,-,-,-,  762,-,-,-,-,-,-,-,-,-,  25,-,-,  25,-,-, 1 150,-,-,-, 1 696,-,-,-,  57,-,-,  15,-,-,  137,  9,-
AFYONKARAHİSAR,,,52.2,-,-,-,-,-,9.4,-,-,-,-,-,-,-,-,-,0.3,-,-,0.3,-,-,14.2,-,-,-,20.9,-,-,-,0.7,-,-,0.2,-,-,1.7,0.1,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 5 026,-,-,-,  43,  7,  925,-,  9,  5,  1,-,-,-,-,-,  14,-,  14,-,-,-,-,  12,-,-, 1 676,  5,-,-,  37,-,-,  5,-,-,-,-,-
AFYONKARAHİSAR,,,64.6,-,-,-,0.6,0.1,11.9,-,0.1,0.1,0.0,-,-,-,-,-,0.2,-,0.2,-,-,-,-,0.2,-,-,21.5,0.1,-,-,0.5,-,-,0.1,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 4 090,  1,-,-,-,  8, 1 109,-,  22,  19,  3,-,-,-,-,-,  41,-,  13,-,-,-,-,  1,-,  2, 2 244,  3,-,-,  116,-,  36,  2,-,-,-,-,-
AFYONKARAHİSAR,,,53.0,0.0,-,-,-,0.1,14.4,-,0.3,0.2,0.0,-,-,-,-,-,0.5,-,0.2,-,-,-,-,0.0,-,0.0,29.1,0.0,-,-,1.5,-,0.5,0.0,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2011, 4 446,-,-,-,  95,-, 1 099,-,  31,  10,  23,  13,-,-,-,  71,-,  22,-,-,-,-,-,-,-,-, 1 564,  30,  16,-,  46,  9,-,-,-,-,-,-,  4
AFYONKARAHİSAR,,,59.4,-,-,-,1.3,-,14.7,-,0.4,0.1,0.3,0.2,-,-,-,0.9,-,0.3,-,-,-,-,-,-,-,-,20.9,0.4,0.2,-,0.6,0.1,-,-,-,-,-,-,0.1
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2007, 3 559,-,-,-,-,  28,  492,-,  518,-,-,  13,  114,-,-,-,-,-,-,-,  31,  19,-,-,  18,-, 1 799,-,-,  9,  55,  13,-,-,-,-,-,-,  13
AFYONKARAHİSAR,,,53.3,-,-,-,-,0.4,7.4,-,7.8,-,-,0.2,1.7,-,-,-,-,-,-,-,0.5,0.3,-,-,0.3,-,26.9,-,-,0.1,0.8,0.2,-,-,-,-,-,-,0.2
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2002, 2 751,-,  282,-,  50,  9,  355,  71,-,  46,  840,-,  175,-,-,-,-,-,-,-,-,  11,-,-,  2,-, 1 118,  7,-,  12,  44,  1,-,-,  3,  20,-,-,  1
AFYONKARAHİSAR,,,47.4,-,4.9,-,0.9,0.2,6.1,1.2,-,0.8,14.5,-,3.0,-,-,-,-,-,-,-,-,0.2,-,-,0.0,-,19.3,0.1,-,0.2,0.8,0.0,-,-,0.1,0.3,-,-,0.0
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,    Dazkırı,2018, 3 647,-,-,-,-,-, 1 560,-,-,-,-,-,-,-,-,-,  41,-,-,  24,-,-, 1 082,-,-,-, 1 058,-,-,-,  71,-,-,  15,-,-,  86,  21,-
AFYONKARAHİSAR,,,48.0,-,-,-,-,-,20.5,-,-,-,-,-,-,-,-,-,0.5,-,-,0.3,-,-,14.2,-,-,-,13.9,-,-,-,0.9,-,-,0.2,-,-,1.1,0.3,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (1 Kasım), 3 839,-,-,-,  51,  14, 1 799,-,  31,  7,  9,-,-,-,-,-,  27,-,  20,-,-,-,-,  9,  1,-, 1 542,  5,-,-,  48,-,-,  21,-,-,-,-,-
AFYONKARAHİSAR,,,51.7,-,-,-,0.7,0.2,24.2,-,0.4,0.1,0.1,-,-,-,-,-,0.4,-,0.3,-,-,-,-,0.1,0.0,-,20.8,0.1,-,-,0.6,-,-,0.3,-,-,-,-,-
AFYONKARAHİSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFYONKARAHİSAR,,2015 (7 Haziran), 3 245,  5,-,-,-,  7, 2 076,-,  34,  22,  12,-,-,-,-,-,  40,-,  20,-,-,-,-,  2,-,  3, 1 875,  4,-,-,  105,-,  20,  12,-,-,-,-,-
