state.id contracting gov.influence leg.influence elect.board years.tenure education party.ID category2 category3 category4 category5 category6 category7 category8 category9 category10 category11 category12 med.time medt.contr grp.influence
4 0 12 18 1 3.17029433495723 5 4 0 0 0 0 0 0 0 0 0 1 0 0 0 10
4 4 16 11 0 3.69958210026431 5 1 0 0 0 0 0 1 0 0 0 0 0 0 0 14
4 1 21 18 0 16.8754123465357 4 1 1 0 0 0 0 0 0 0 0 0 0 0 0 4
5 0 16 17 0 2.83540195196482 5 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5
5 2 19 20 0 4.85099167777933 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 13
5 3 14 15 1 5.72359077057663 5 1 0 0 0 1 0 0 0 0 0 0 0 1 3 13
5 2 16 18 0 3.60911382696238 4 5 0 0 0 1 0 0 0 0 0 0 0 0 0 8
5 0 17 14 0 2.22704082984647 3 1 0 0 0 0 0 0 0 0 0 1 0 0 0 15
5 0 17 13 0 4.17938219952855 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7
5 1 9 12 1 0.826760627743086 5 1 0 0 0 0 0 0 0 0 0 0 0 1 1 6
5 0 21 21 0 3.07056618759755 4 2 0 0 0 0 0 0 0 0 0 1 0 1 0 14
5 0 7 7 0 2.17268499533038 5 3 0 0 0 0 0 0 0 1 0 0 0 1 0 11
5 1 16 15 0 4.091650567795 5 5 0 0 0 0 0 0 0 0 1 0 0 0 0 8
6 2 18 20 0 6.10324930323858 3 1 0 0 1 0 0 0 0 0 0 0 0 0 0 11
6 3 10 8 0 1.44278737977246 5 1 0 0 0 0 0 0 0 1 0 0 0 0 0 8
6 0 17 21 0 0.182091397327729 3 2 1 0 0 0 0 0 0 0 0 0 0 0 0 6
6 6 18 20 0 2.15644545429259 5 1 0 0 0 0 1 0 0 0 0 0 0 0 0 9
6 1 9 13 0 0.97514409777356 5 2 0 0 0 0 0 1 0 0 0 0 0 1 1 6
6 0 12 16 0 1.49403042597476 5 1 0 0 0 0 0 0 0 1 0 0 0 1 0 14
6 3 9 11 0 2.94126392981364 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 8
6 1 14 17 0 6.47595572974089 5 1 0 0 0 0 0 0 0 0 0 1 0 0 0 5
6 1 18 19 0 2.33137136306939 5 3 0 0 0 0 0 0 0 0 0 0 1 0 0 11
6 0 15 18 0 2.13911859590765 3 2 0 0 0 0 0 0 0 0 0 1 0 0 0 10
6 0 8 20 0 1.71105203757719 5 5 0 0 0 0 0 0 0 0 0 0 0 1 0 11
6 2 21 21 0 0.795726478714112 5 1 0 0 1 0 0 0 0 0 0 0 0 0 0 13
6 2 16 19 0 1.98602575242271 5 1 0 0 1 0 0 0 0 0 0 0 0 1 2 14
6 0 16 17 0 5.30991284289236 4 5 0 0 0 0 0 0 0 0 1 0 0 0 0 11
6 2 11 15 0 0.719564246899212 5 1 0 0 0 0 0 0 0 0 0 1 0 1 2 8
6 2 18 17 0 2.39961369194252 4 3 0 0 0 0 0 0 0 0 0 1 0 0 0 10
6 4 17 14 1 2.65565901011461 5 1 0 0 0 0 1 0 0 0 0 0 0 1 4 8
7 4 21 21 0 9.72188413829531 5 5 0 0 1 0 0 0 0 0 0 0 0 1 4 13
7 0 8 10 0 15.3402738474565 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 11
7 4 15 15 1 4.20636526825152 5 1 0 0 0 0 0 0 0 1 0 0 0 0 1 9
7 0 18 18 0 5.13883690245189 5 1 0 0 0 0 0 0 0 0 1 0 0 0 0 8
7 0 21 17 0 2.69031775172633 5 5 0 0 0 0 0 0 1 0 0 0 0 0 0 9
7 6 21 18 0 5.13086614796619 5 3 0 0 0 0 1 0 0 0 0 0 0 0 0 12
7 3 18 17 0 4.84254004734051 5 1 0 0 0 0 0 0 0 0 0 1 0 1 3 11
7 3 19 17 0 2.38850777361241 5 2 0 0 0 0 1 0 0 0 0 0 0 1 3 12
7 0 10 13 1 1.50233146784271 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 10
7 0 21 15 0 5.24324784546966 5 2 0 0 0 0 0 0 0 0 1 0 0 0 0 11
8 1 19 14 0 1.17016639519554 5 1 0 0 0 0 0 0 0 0 1 0 0 1 1 8
8 1 21 21 0 5.22983049319093 4 1 0 0 0 0 0 1 0 0 0 0 0 1 0 10
8 0 13 13 0 6.42731427105157 5 1 0 0 0 1 0 0 0 0 0 0 0 0 0 6
8 3 16 15 0 8.31332264933259 5 1 0 0 0 0 0 0 0 1 0 0 0 1 3 15
8 5 15 16 0 1.03407346796391 3 3 0 0 0 0 0 0 0 0 1 0 0 0 0 9
8 0 19 17 0 4.55945691359892 5 3 0 0 0 0 0 0 0 0 0 1 0 0 0 8
